OBJECTID,Neighbourhood,Hood_ID,Population,Assault_2014,Assault_2015,Assault_2016,Assault_2017,Assault_2018,Assault_2019,Assault_AVG,Assault_CHG,Assault_Rate_2019,AutoTheft_2014,AutoTheft_2015,AutoTheft_2016,AutoTheft_2017,AutoTheft_2018,AutoTheft_2019,AutoTheft_AVG,AutoTheft_CHG,AutoTheft_Rate_2019,BreakandEnter_2014,BreakandEnter_2015,BreakandEnter_2016,BreakandEnter_2017,BreakandEnter_2018,BreakandEnter_2019,BreakandEnter_AVG,BreakandEnter_CHG,BreakandEnter_Rate_2019,Homicide_2014,Homicide_2015,Homicide_2016,Homicide_2017,Homicide_2018,Homicide_2019,Homicide_AVG,Homicide_CHG,Homicide_Rate_2019,Robbery_2014,Robbery_2015,Robbery_2016,Robbery_2017,Robbery_2018,Robbery_2019,Robbery_AVG,Robbery_CHG,Robbery_Rate_2019,TheftOver_2014,TheftOver_2015,TheftOver_2016,TheftOver_2017,TheftOver_2018,TheftOver_2019,TheftOver_AVG,TheftOver_CHG,TheftOver_Rate_2019,Shape__Area,Shape__Length
11,Humewood-Cedarvale,106,14365,43,52,52,38,47,46,46.3,-0.02,320.2,11,7,17,22,24,16,16.2,-0.33,111.4,31,39,27,39,33,26,32.5,-0.21,181,0,1,0,1,0,0,0.3,0,0,8,11,8,6,4,10,7.8,1.5,69.6,3,3,5,6,7,4,4.7,-0.43,27.8,1871263.39526367,6036.26811584617
12,Islington-City Centre West,014,43965,235,210,219,216,236,222,223,-0.06,504.9,91,104,135,97,160,172,126.5,0.08,391.2,111,143,105,96,119,124,116.3,0.04,282,2,0,0,0,2,1,0.8,-0.5,2.3,36,36,41,68,35,35,41.8,0,79.6,35,45,37,33,54,37,40.2,-0.31,84.2,16239688.7004395,20311.9292497967
13,Danforth,066,9666,74,82,56,63,83,76,72.3,-0.08,786.3,7,4,5,4,10,7,6.2,-0.3,72.4,39,43,41,29,32,40,37.3,0.25,413.8,1,1,1,1,1,0,0.8,-1,0,12,19,17,29,29,18,20.7,-0.38,186.2,2,4,4,3,5,4,3.7,-0.2,41.4,1119664.70727539,6233.17274904289
14,Rustic,028,9941,49,61,65,59,67,59,60,-0.12,593.5,7,18,8,11,14,37,15.8,1.64,372.2,21,17,17,12,10,14,15.2,0.4,140.8,0,1,0,0,0,1,0.3,1,10.1,16,13,7,4,9,3,8.7,-0.67,30.2,1,1,3,1,2,1,1.5,-0.5,10.1,2096348.75512695,5888.97179133215
15,Scarborough Village,139,16724,161,153,192,152,178,175,168.5,-0.02,1046.4,20,15,9,21,20,18,17.2,-0.1,107.6,49,48,34,32,45,40,41.3,-0.11,239.2,1,0,6,1,0,0,1.3,0,0,30,33,22,23,14,28,25,1,167.4,3,2,2,4,3,2,2.7,-0.33,12,3151015.09423828,7922.76444194323
16,South Parkdale,085,21849,202,226,231,229,220,251,226.5,0.14,1148.8,13,20,23,19,17,20,18.7,0.18,91.5,45,51,71,58,78,89,65.3,0.14,407.3,0,0,1,0,0,1,0.3,1,4.6,24,35,41,30,35,33,33,-0.06,151,6,4,9,10,9,22,10,1.44,100.7,2286974.07055664,10802.8321601963
17,South Riverdale,070,27876,215,207,236,243,304,261,244.3,-0.14,936.3,18,23,27,37,40,40,30.8,0,143.5,89,98,148,94,91,133,108.8,0.46,477.1,1,0,3,5,2,0,1.8,-1,0,64,42,49,64,40,35,49,-0.13,125.6,18,16,22,27,24,21,21.3,-0.13,75.3,10964573.8276367,43080.7247013893
18,St.Andrew-Windfields,040,17812,53,41,48,45,55,58,50,0.05,325.6,15,25,10,15,21,35,20.2,0.67,196.5,81,79,57,91,81,83,78.7,0.02,466,1,0,0,2,0,0,0.5,0,0,8,5,14,0,4,12,7.2,2,67.4,10,14,8,7,6,6,8.5,0,33.7,7299579.75805664,13025.9974564362
19,Taylor-Massey,061,15683,127,92,97,107,123,122,111.3,-0.01,777.9,11,9,7,5,12,12,9.3,0,76.5,31,71,43,27,41,63,46,0.54,401.7,0,1,1,1,0,1,0.7,1,6.4,24,37,16,20,16,13,21,-0.19,82.9,4,3,5,2,4,3,3.5,-0.25,19.1,1062970.03637695,5940.70005041958
20,Humber Summit,021,12416,76,89,118,116,109,118,104.3,0.08,950.4,66,42,62,83,106,135,82.3,0.27,1087.3,54,44,41,40,56,57,48.7,0.02,459.1,0,1,0,2,1,3,1.2,2,24.2,22,23,23,27,31,28,25.7,-0.1,225.5,15,16,18,18,15,22,17.3,0.47,177.2,7966905.39770508,12608.573117878
21,Humbermede,022,15545,117,132,114,157,119,161,133.3,0.35,1035.7,36,33,45,58,56,68,49.3,0.21,437.4,35,35,24,21,44,61,36.7,0.39,392.4,0,0,1,1,0,0,0.3,0,0,28,27,24,34,29,27,28.2,-0.07,173.7,1,9,1,7,10,8,6,-0.2,51.5,4421664.9753418,12445.7221490197
22,Centennial Scarborough,133,13362,50,39,48,48,46,48,46.5,0.04,359.2,8,7,5,8,10,19,9.5,0.9,142.2,13,15,19,23,16,29,19.2,0.81,217,0,0,0,1,1,0,0.3,-1,0,10,4,13,11,6,1,7.5,-0.83,7.5,1,1,1,4,2,3,2,0.5,22.5,5468486.34375,12038.4811854149
23,Church-Yonge Corridor,075,31340,480,495,543,694,766,879,642.8,0.15,2804.7,31,24,23,27,68,54,37.8,-0.21,172.3,141,152,145,199,191,303,188.5,0.59,966.8,1,4,3,1,2,1,2,-0.5,3.2,122,128,114,138,169,143,135.7,-0.15,456.3,32,16,40,30,43,42,33.8,-0.02,134,1364546.65332031,6347.04702949077
24,Clairlea-Birchmount,120,26984,247,259,244,243,288,282,260.5,-0.02,1045.1,42,29,44,40,46,66,44.5,0.43,244.6,130,116,86,103,65,65,94.2,0,240.9,0,2,1,0,3,1,1.2,-0.67,3.7,40,44,46,51,28,37,41,0.32,137.1,4,15,18,7,12,14,11.7,0.17,51.9,7397299.89990234,16485.3964180826
25,Cliffcrest,123,15935,79,97,106,114,132,133,110.2,0.01,834.6,17,12,10,18,23,19,16.5,-0.17,119.2,41,58,57,36,51,46,48.2,-0.1,288.7,0,1,0,0,1,0,0.3,-1,0,28,22,24,30,14,25,23.8,0.79,156.9,4,5,3,7,3,3,4.2,0,18.8,7191379.69873047,19946.0231984033
26,Flemingdon Park,044,21933,128,147,153,122,145,152,141.2,0.05,693,8,7,4,12,8,8,7.8,0,36.5,50,20,14,12,14,16,21,0.14,72.9,1,0,0,0,0,0,0.2,0,0,25,22,24,20,16,13,20,-0.19,59.3,9,3,3,4,1,3,3.8,2,13.7,2473306.36791992,8487.7521109866
27,Corso Italia-Davenport,092,14133,73,85,71,93,95,95,85.3,0,672.2,14,9,7,12,12,15,11.5,0.25,106.1,30,22,15,32,32,39,28.3,0.22,275.9,0,1,0,0,0,0,0.2,0,0,18,17,29,32,21,28,24.2,0.33,198.1,2,4,2,3,5,6,3.7,0.2,42.5,1884658.14306641,6077.8248068784
28,Ionview,125,13641,95,107,101,93,90,79,94.2,-0.12,579.1,5,12,5,6,3,8,6.5,1.67,58.6,33,45,17,28,19,19,26.8,0,139.3,0,0,0,0,0,0,0,0,0,24,15,9,13,8,11,13.3,0.38,80.6,1,5,4,1,1,2,2.3,1,14.7,1952873.82202148,6356.15015892723
29,Junction Area,090,14366,93,100,104,88,126,85,99.3,-0.33,591.7,21,20,19,24,38,31,25.5,-0.18,215.8,36,33,32,46,62,42,41.8,-0.32,292.4,1,0,0,0,0,0,0.2,0,0,13,14,8,12,26,14,14.5,-0.46,97.5,4,2,4,8,6,8,5.3,0.33,55.7,2631832.26025391,7789.28189620553
30,Broadview North,057,11499,64,68,55,65,62,77,65.2,0.24,669.6,1,7,8,6,7,3,5.3,-0.57,26.1,13,21,15,24,8,25,17.7,2.13,217.4,0,0,0,1,1,0,0.3,-1,0,11,7,14,4,10,10,9.3,0,87,0,2,2,1,2,1,1.3,-0.5,8.7,1745969.19799805,7178.12381805323
31,Princess-Rosethorn,010,11051,21,17,30,28,21,27,24,0.29,244.3,21,20,24,19,21,29,22.3,0.38,262.4,34,29,33,29,22,34,30.2,0.55,307.7,0,0,1,0,1,0,0.3,-1,0,19,4,32,6,5,15,13.5,2,135.7,4,4,3,3,6,3,3.8,-0.5,27.1,5171203.32421875,11051.8775939326
32,North Riverdale,068,11916,58,64,54,69,63,79,64.5,0.25,663,14,11,6,10,11,21,12.2,0.91,176.2,43,51,41,29,34,43,40.2,0.26,360.9,0,0,1,1,0,0,0.3,0,0,24,35,34,27,18,21,26.5,0.17,176.2,4,3,6,5,5,5,4.7,0,42,1786040.69946289,5475.63576931023
33,Etobicoke West Mall,013,11848,43,60,46,51,45,51,49.3,0.13,430.5,11,14,15,9,8,10,11.2,0.25,84.4,25,25,14,8,16,8,16,-0.5,67.5,1,0,1,0,0,2,0.7,2,16.9,10,9,3,4,4,10,6.7,1.5,84.4,0,3,0,4,3,6,2.7,1,50.6,1796641.64916992,6476.05860513445
34,Forest Hill North,102,12806,24,28,26,37,31,39,30.8,0.26,304.5,12,12,7,13,20,26,15,0.3,203,38,37,19,46,40,38,36.3,-0.05,296.7,0,0,0,0,0,0,0,0,0,5,5,8,7,14,19,9.7,0.36,148.4,3,4,2,3,0,2,2.3,2,15.6,1569106.05249023,5693.11591083407
35,Glenfield-Jane Heights,025,30491,287,302,305,287,304,344,304.8,0.13,1128.2,41,51,63,50,64,86,59.2,0.34,282.1,36,36,30,42,38,38,36.7,0,124.6,0,0,1,2,0,2,0.8,2,6.6,48,46,69,53,53,50,53.2,-0.06,164,7,7,9,7,11,12,8.8,0.09,39.4,5149746.93359375,11437.3631498383
36,Greenwood-Coxwell,065,14417,110,135,98,78,116,129,111,0.11,894.8,13,17,13,13,18,25,16.5,0.39,173.4,46,34,65,33,39,48,44.2,0.23,332.9,2,0,0,0,0,0,0.3,0,0,15,18,10,19,17,10,14.8,-0.41,69.4,4,7,7,7,6,5,6,-0.17,34.7,1675174.69384766,6843.00221037826
37,Guildwood,140,9917,52,38,43,41,47,28,41.5,-0.4,282.3,2,0,4,5,2,3,2.7,0.5,30.3,13,20,18,10,16,10,14.5,-0.38,100.8,0,0,0,0,0,1,0.2,1,10.1,16,6,8,10,2,7,8.2,2.5,70.6,1,2,1,4,1,1,1.7,0,10.1,3804331.10473633,9830.06441125751
38,Trinity-Bellwoods,081,16556,132,143,166,138,143,127,141.5,-0.11,767.1,15,19,24,28,21,25,22,0.19,151,69,56,46,69,63,110,68.8,0.75,664.4,0,0,1,0,0,0,0.2,0,0,29,19,24,24,22,24,23.7,0.09,145,9,6,2,6,9,4,6,-0.56,24.2,1729723.58203125,5343.12142814648
39,Victoria Village,043,17510,118,138,133,83,112,132,119.3,0.18,753.9,20,14,20,14,13,18,16.5,0.38,102.8,38,46,23,32,35,60,39,0.71,342.7,0,0,2,1,0,1,0.7,1,5.7,10,18,13,10,14,14,13.2,0,80,6,6,4,5,4,5,5,0.25,28.6,4755219.24365234,11800.3417010795
40,Waterfront Communities-The Island,077,65913,738,826,888,905,910,844,851.8,-0.07,1280.5,57,44,38,59,63,61,53.7,-0.03,92.5,156,185,212,261,334,336,247.3,0.01,509.8,1,1,0,2,1,1,1,0,1.5,75,55,70,82,116,95,82.2,-0.18,144.1,46,48,59,52,59,73,56.2,0.24,110.8,13416295.0332031,18366.6083496568
41,West Hill,136,27392,343,395,423,400,420,431,402,0.03,1573.5,24,17,15,31,27,45,26.5,0.67,164.3,89,66,72,87,103,78,82.5,-0.24,284.8,0,2,0,0,1,2,0.8,1,7.3,65,64,77,65,49,71,65.2,0.45,259.2,7,6,8,10,5,4,6.7,-0.2,14.6,9625439.59741211,14976.5717738858
42,West Humber-Clairville,001,33312,300,310,307,307,322,265,301.8,-0.18,795.5,305,261,321,326,505,482,366.7,-0.05,1446.9,148,119,131,127,170,132,137.8,-0.22,396.3,0,3,4,0,0,2,1.5,2,6,86,86,100,123,86,70,91.8,-0.19,210.1,41,58,41,58,52,63,52.2,0.21,189.1,30145323.9472656,27924.1969740584
43,Westminster-Branson,035,26274,99,102,131,104,114,116,111,0.02,441.5,30,21,26,20,35,34,27.7,-0.03,129.4,63,68,20,42,40,38,45.2,-0.05,144.6,0,0,0,0,0,0,0,0,0,17,6,13,18,19,14,14.5,-0.26,53.3,3,6,7,6,4,2,4.7,-0.5,7.6,3667761.80371094,11495.3651810401
44,Kennedy Park,124,17123,216,248,218,195,215,224,219.3,0.04,1308.2,26,12,12,28,30,24,22,-0.2,140.2,49,36,46,50,48,41,45,-0.15,239.4,0,0,0,0,2,1,0.5,-0.5,5.8,73,65,32,53,31,27,46.8,-0.13,157.7,7,2,5,4,20,6,7.3,-0.7,35,3580725.18847656,7606.6315352743
45,Kingsview Village-The Westway,006,22000,90,118,125,105,97,91,104.3,-0.06,413.6,57,49,42,36,53,40,46.2,-0.25,181.8,38,33,34,39,39,25,34.7,-0.36,113.6,2,1,2,2,2,0,1.5,-1,0,19,31,24,12,18,15,19.8,-0.17,68.2,5,4,5,6,3,2,4.2,-0.33,9.1,5063371.16918945,10449.4059504016
46,Bayview Woods-Steeles,049,13154,38,42,35,33,49,45,40.3,-0.08,342.1,16,7,18,22,7,18,14.7,1.57,136.8,22,34,33,38,28,20,29.2,-0.29,152,0,0,0,0,0,1,0.2,1,7.6,4,2,0,4,7,5,3.7,-0.29,38,3,1,1,3,2,2,2,0,15.2,4088934.05639648,8253.15450233536
47,Clanton Park,033,16472,79,72,62,68,87,89,76.2,0.02,540.3,70,28,49,28,44,42,43.5,-0.05,255,61,44,41,54,52,44,49.3,-0.15,267.1,0,0,1,0,0,0,0.2,0,0,9,8,5,14,15,17,11.3,0.13,103.2,5,6,6,5,9,4,5.8,-0.56,24.3,4142429.41210938,10147.161662881
48,Keelesdale-Eglinton West,110,11058,68,61,49,61,78,61,63,-0.22,551.6,18,14,15,29,23,33,22,0.43,298.4,23,20,14,14,31,18,20,-0.42,162.8,1,0,0,1,0,1,0.5,1,9,36,18,28,23,20,11,22.7,-0.45,99.5,1,2,0,4,3,9,3.2,2,81.4,1750773.8425293,5670.47208839607
49,O'Connor-Parkview,054,18675,191,169,136,135,140,146,152.8,0.04,781.8,21,12,7,10,20,29,16.5,0.45,155.3,55,31,34,39,26,54,39.8,1.08,289.2,1,0,0,1,0,0,0.3,0,0,32,22,30,18,10,15,21.2,0.5,80.3,11,6,6,2,6,7,6.3,0.17,37.5,4876766.98486328,10927.1782416123
50,Old East York,058,9233,46,50,37,39,59,46,46.2,-0.22,498.2,3,4,6,0,9,4,4.3,-0.56,43.3,21,11,26,17,28,13,19.3,-0.54,140.8,0,0,1,0,1,0,0.3,-1,0,17,5,6,4,6,8,7.7,0.33,86.6,4,3,2,2,0,3,2.3,3,32.5,2349933.45629883,7485.02477884485
51,Casa Loma,096,10968,25,31,40,35,41,50,37,0.22,455.9,4,3,5,7,16,6,6.8,-0.63,54.7,32,23,19,27,23,34,26.3,0.48,310,0,0,0,0,0,0,0,0,0,5,5,1,9,4,8,5.3,1,72.9,4,5,7,7,2,2,4.5,0,18.2,1922539.6496582,5937.87971494868
52,Kensington-Chinatown,078,17945,318,339,340,416,423,373,368.2,-0.12,2078.6,21,27,30,25,23,39,27.5,0.7,217.3,102,99,80,106,240,278,150.8,0.16,1549.2,0,1,5,0,3,0,1.5,-1,0,75,48,61,83,71,46,64,-0.35,256.3,18,34,18,27,26,37,26.7,0.42,206.2,1534712.31079102,5024.45384895741
53,Kingsway South,015,9271,21,30,26,20,30,28,25.8,-0.07,302,17,15,9,21,9,28,16.5,2.11,302,25,23,27,31,18,25,24.8,0.39,269.7,0,0,0,0,0,0,0,0,0,8,17,8,11,15,12,11.8,-0.2,129.4,3,3,2,6,4,4,3.7,0,43.1,2638301.21972656,8062.51226888164
54,Runnymede-Bloor West Village,089,10070,26,40,37,37,36,44,36.7,0.22,436.9,14,10,10,20,26,29,18.2,0.12,288,21,25,23,19,22,25,22.5,0.14,248.3,0,0,0,0,0,0,0,0,0,14,17,20,17,17,17,17,0,168.8,1,1,1,0,2,2,1.2,0,19.9,1593977.76611328,6748.11256013931
55,Forest Hill South,101,10732,17,12,10,27,19,26,18.5,0.37,242.3,4,12,9,12,23,20,13.3,-0.13,186.4,49,18,29,68,42,35,40.2,-0.17,326.1,0,0,0,0,0,0,0,0,0,2,1,1,5,9,16,5.7,0.78,149.1,5,5,5,7,2,4,4.7,1,37.3,2480022.90966797,7188.5741067007
56,Henry Farm,053,15723,64,69,72,74,81,85,74.2,0.05,540.6,14,12,10,15,16,23,15,0.44,146.3,38,27,13,28,25,37,28,0.48,235.3,0,1,0,1,1,0,0.5,-1,0,5,8,8,12,8,7,8,-0.13,44.5,2,4,1,10,5,14,6,1.8,89,2593263.64892578,8150.84370831638
57,Annex,095,30526,213,226,257,248,246,288,246.3,0.17,943.5,13,14,19,23,33,30,22,-0.09,98.3,156,106,123,116,172,212,147.5,0.23,694.5,0,0,0,0,2,1,0.5,-0.5,3.3,34,40,34,64,42,31,40.8,-0.26,101.6,22,17,22,29,45,42,29.5,-0.07,137.6,2790356.17993164,7606.03923027286
58,Caledonia-Fairbank,109,9955,65,64,77,74,69,81,71.7,0.17,813.7,11,5,13,8,13,11,10.2,-0.15,110.5,27,19,13,10,9,9,14.5,0,90.4,0,0,0,0,0,0,0,0,0,18,9,24,10,10,18,14.8,0.8,180.8,5,1,1,1,1,2,1.8,1,20.1,1544434.53540039,4951.20830424617
59,Humber Heights-Westmount,008,10948,23,33,30,31,37,35,31.5,-0.05,319.7,25,25,16,25,15,20,21,0.33,182.7,19,20,23,31,29,19,23.5,-0.34,173.5,1,0,1,1,2,0,0.8,-1,0,9,5,8,5,5,2,5.7,-0.6,18.3,1,2,4,5,2,5,3.2,1.5,45.7,2802679.71313477,9088.07200729736
60,Roncesvalles,086,14974,74,109,110,103,83,97,96,0.17,647.8,11,5,12,19,21,13,13.5,-0.38,86.8,35,36,38,48,74,92,53.8,0.24,614.4,0,0,0,0,2,1,0.5,-0.5,6.7,19,16,26,24,20,19,20.7,-0.05,126.9,2,2,3,12,5,10,5.7,1,66.8,1504527.27368164,6163.82932717552
61,University,079,7607,131,147,122,152,121,124,132.8,0.02,1630.1,8,6,13,7,9,9,8.7,0,118.3,72,60,51,62,74,91,68.3,0.23,1196.3,0,0,0,1,0,1,0.3,1,13.1,44,25,25,22,19,12,24.5,-0.37,157.7,5,10,6,5,17,6,8.2,-0.65,78.9,1405236.48828125,4971.78012750341
62,Hillcrest Village,048,16934,63,59,41,52,62,69,57.7,0.11,407.5,11,10,22,17,26,27,18.8,0.04,159.4,35,48,34,30,42,36,37.5,-0.14,212.6,0,0,0,0,0,1,0.2,1,5.9,16,6,15,26,16,16,15.8,0,94.5,7,5,2,4,7,6,5.2,-0.14,35.4,5395665.57080078,9570.81384331828
63,Mount Dennis,115,13593,97,99,107,102,88,89,97,0.01,654.7,27,13,15,15,16,22,18,0.38,161.8,18,20,30,17,21,14,20,-0.33,103,1,0,0,0,1,3,0.8,2,22.1,25,13,33,34,10,13,21.3,0.3,95.6,3,1,0,5,1,5,2.5,4,36.8,2129358.65209961,6852.13404178804
64,Dorset Park,126,25003,135,168,195,198,197,166,176.5,-0.16,663.9,48,39,44,42,80,60,52.2,-0.25,240,90,84,70,88,66,57,75.8,-0.14,228,0,0,0,1,0,2,0.5,2,8,34,37,50,36,35,35,37.8,0,140,6,10,12,4,15,8,9.2,-0.47,32,6012087.75244141,10566.898996667
65,Edenbridge-Humber Valley,009,15535,25,23,30,28,24,33,27.2,0.38,212.4,28,23,29,17,18,23,23,0.28,148.1,43,40,46,42,45,54,45,0.2,347.6,0,0,0,0,0,0,0,0,0,8,7,7,3,5,5,5.8,0,32.2,3,4,2,5,6,8,4.7,0.33,51.5,5511577.79125977,11180.412213707
66,Dovercourt-Wallace Emerson-Junction,093,36625,210,216,248,251,250,270,240.8,0.08,737.2,25,28,30,29,41,39,32,-0.05,106.5,75,69,78,91,141,185,106.5,0.31,505.1,2,3,0,2,0,3,1.7,3,8.2,58,48,42,64,47,47,51,0,128.3,10,9,11,9,11,7,9.5,-0.36,19.1,3725825.35791016,9225.59113225159
67,Newtonbrook West,036,23831,142,121,140,132,177,171,147.2,-0.03,717.6,51,23,48,36,54,58,45,0.07,243.4,53,43,53,88,55,54,57.7,-0.02,226.6,0,0,0,0,1,0,0.2,-1,0,26,10,14,45,24,13,22,-0.46,54.6,7,9,7,17,10,12,10.3,0.2,50.4,4695675.75341797,8634.1948010073
68,Niagara,082,31180,255,285,250,260,264,268,263.7,0.02,859.5,23,24,25,22,21,33,24.7,0.57,105.8,68,66,71,89,71,148,85.5,1.08,474.7,0,2,1,0,2,0,0.8,-1,0,29,24,16,14,16,24,20.5,0.5,77,17,18,17,12,15,20,16.5,0.33,64.1,3241278.6027832,11006.5377019036
69,Beechborough-Greenbrook,112,6577,60,67,61,60,45,67,60,0.49,1018.7,9,7,9,9,11,13,9.7,0.18,197.7,20,15,11,16,25,11,16.3,-0.56,167.2,0,0,0,0,0,0,0,0,0,16,11,13,9,13,12,12.3,-0.08,182.5,2,5,4,2,0,2,2.5,2,30.4,1833622.83520508,6414.7193092875
70,High Park North,088,22162,79,90,89,99,101,87,90.8,-0.14,392.6,7,14,7,9,20,24,13.5,0.2,108.3,18,70,28,54,61,68,49.8,0.11,306.8,1,0,0,0,0,0,0.2,0,0,13,22,23,31,24,13,21,-0.46,58.7,5,1,2,2,4,5,3.2,0.25,22.6,1882284.17724609,6319.7747714794
71,High Park-Swansea,087,23925,92,130,107,105,84,115,105.5,0.37,480.7,19,17,11,13,21,30,18.5,0.43,125.4,48,50,36,40,46,57,46.2,0.24,238.2,0,0,0,0,0,1,0.2,1,4.2,29,47,22,27,13,30,28,1.31,125.4,8,5,5,10,3,13,7.3,3.33,54.3,5358123.03125,10614.3666604165
72,Highland Creek,134,12494,49,50,62,64,43,58,54.3,0.35,464.2,25,11,8,14,20,27,17.5,0.35,216.1,28,36,35,29,30,33,31.8,0.1,264.1,0,1,0,0,0,1,0.3,1,8,16,28,8,15,4,9,13.3,1.25,72,3,5,1,1,3,1,2.3,-0.67,8,5248057.66357422,9914.92287105672
73,North St.James Town,074,18615,154,160,139,158,169,233,168.8,0.38,1251.7,23,11,16,14,10,21,15.8,1.1,112.8,71,72,53,48,71,70,64.2,-0.01,376,2,2,0,0,0,0,0.7,0,0,35,29,22,36,31,33,31,0.06,177.3,6,3,8,8,3,14,7,3.67,75.2,424196.762451172,2574.40851468341
74,Oakridge,121,13845,155,182,140,163,167,154,160.2,-0.08,1112.3,21,15,11,12,16,10,14.2,-0.38,72.2,63,67,58,69,65,50,62,-0.23,361.1,0,1,0,0,0,0,0.2,0,0,53,31,29,35,35,32,35.8,-0.09,231.1,2,4,10,1,4,6,4.5,0.5,43.3,1878562.21508789,7808.87790802281
75,Rosedale-Moore Park,098,20923,59,95,97,99,123,117,98.3,-0.05,559.2,9,24,12,4,30,27,17.7,-0.1,129,97,27,59,71,62,99,69.2,0.6,473.2,0,0,0,0,1,0,0.2,-1,0,11,17,18,23,20,19,18,-0.05,90.8,6,9,8,10,10,14,9.5,0.4,66.9,4669066.02856445,9663.31948197785
